Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
3;AWS;26;477;217469;63350;43457;67910;42752;;;;;;;;
3;AWS;27;449;209904;61323;44304;62958;41319;;;;;;;;
3;AWS;28;480;216740;62204;45704;68941;39891;;;;;;;;
3;AWS;29;461;221550;70008;44529;67968;39045;;;;;;;;
3;AWS;30;491;211448;63977;38074;63774;45623;;;;;;;;
3;AWS;31;460;219968;69567;46770;62205;41426;;;;;;;;
3;AWS;32;507;209009;61797;43475;59182;44555;;;;;;;;
3;AWS;33;486;219043;70989;40913;64293;42848;;;;;;;;
3;AWS;34;507;217026;69429;41874;60810;44913;;;;;;;;
3;AWS;35;501;220833;69609;41997;62620;46607;;;;;;;;
3;AWS;36;447;215457;65069;44028;65092;41268;;;;;;;;
3;AWS;37;502;222521;60869;46383;68799;46470;;;;;;;;
3;AWS;38;464;221501;68704;40658;66859;45280;;;;;;;;
3;AWS;39;486;218112;66711;44368;68684;38349;;;;;;;;
3;AWS;40;489;209098;60696;40314;66499;41589;;;;;;;;
3;AWS;41;460;209674;69690;38759;60912;40313;;;;;;;;
3;AWS;42;473;215157;70061;42958;59584;42554;;;;;;;;
3;AWS;43;479;209068;60741;41324;62514;44489;;;;;;;;
3;AWS;44;517;219863;66764;47480;60272;45347;;;;;;;;
3;AWS;45;513;210480;60791;45602;61382;42705;;;;;;;;
3;AWS;46;535;211932;63943;45871;63382;38736;;;;;;;;
3;AWS;47;501;223330;68928;39532;67604;47266;;;;;;;;
3;AWS;48;519;219137;65795;43677;67531;42134;;;;;;;;
3;AWS;49;471;212243;61096;44588;60100;46459;;;;;;;;
3;AWS;50;511;221182;68814;43761;63494;45113;;;;;;;;
3;AWS;51;575;212504;64083;45671;62936;39814;;;;;;;;
3;AWS;52;498;217021;67256;40679;64190;44896;;;;;;;;
3;AWS;53;519;208318;67698;38073;60368;42179;;;;;;;;
3;AWS;54;493;217061;60294;47350;65884;43533;;;;;;;;
3;AWS;55;562;219112;65658;45936;62832;44686;;;;;;;;
3;AWS;56;461;207400;67475;38363;61872;39690;;;;;;;;
3;AWS;57;470;212757;68838;39301;65573;39045;;;;;;;;
3;AWS;58;475;212566;62692;43263;61361;45250;;;;;;;;
3;AWS;59;498;203030;61757;40518;59657;41098;;;;;;;;
3;AWS;60;396;214175;67140;46229;60900;39906;;;;;;;;
3;AWS;61;529;216834;67565;40472;61391;47406;;;;;;;;
3;AWS;62;478;219597;65673;45518;63864;44542;;;;;;;;
3;AWS;63;541;205331;62548;44866;59750;38167;;;;;;;;
3;AWS;64;475;215167;63606;44676;63286;43599;;;;;;;;
3;AWS;65;518;198033;61301;38753;59131;38848;;;;;;;;
3;AWS;66;467;216473;68898;43525;63170;40880;;;;;;;;
3;AWS;67;497;205402;63309;44082;59061;38950;;;;;;;;
